Name	Type of Trainee	Area of study	Advisor	Year Graduated	Current Position	Latitude	Longitude	URL
Kim, Christina	PhD	BCS & LING	Tanenhaus, Runner	2012	Lecturer, English Language & Linguistics, University of Kent	51.296911	1.065104	http://www.kent.ac.uk/secl/ell/staff/kim.html
Klein, Natalie	PhD	BCS	Tanenhaus	2011	Office of Research Protections, US Army Medical Research and Materiel Command	39.438477	-77.423153	
Lehnert-LeHouillier, Heike	Postdoc	LING	McDonough	2007 - 2009	Research Assistant Professor, Department of Communicative Disorders, University at Buffalo	42.952788	-78.816081	http://cdswebserver.med.buffalo.edu/drupal/
Liu, Daphne	PhD	CS	Schubert	2012	Software Engineer, Amazon Web Services	39.046494	-77.487251	
Magnuson, Jim	PhD	BCS	Tanenhaus	2001	Associate Professor, Department of Psychology, University of Connecticut	41.807929	-72.254015	http://psych.uconn.edu/faculty/magnuson.php
Mauner, Gail	PhD	BCS	Tanenhaus	1996	Associate Professor, Department of Psychology, University at Buffalo	42.999875	-78.788209	http://wings.buffalo.edu/psychology/people/faculty/mauner.html
Maye, Jessica	Postdoc	BCS	Aslin	2000 - 2003	Lecturer, Department of Linguistics, Northwestern University	42.054468	-87.677652	http://www.linguistics.northwestern.edu/
McMurray, Bob	PhD	BCS	Aslin, Tanenhaus	2004	Associate Professor, Department of Psychology, University of Iowa	41.662676	-91.554889	http://www.psychology.uiowa.edu/people/bob-mcmurray
McRae, Ken	Postdoc	BCS	Tanenhaus	1992 - 1993	Professor, Department of Psychology, University of Western Ontario, London ON	43.009591	-81.273723	https://sites.google.com/site/kenmcraelab/
Mintz, Toby	PhD	BCS & LING	Newport	1996	Associate Professor, Department of Psychology & Linguistics, University of Southern California	34.021297	-118.287984	http://dornsife.usc.edu/tobenmintz/
Pajak, Bozena	Postdoc	BCS	Jaeger	2012 - 2014	Research Associate and Lecturer, Department of Linguistics, Northwestern University	42.054468	-87.677652	https://bpajak.github.io/
Piantadosi, Steve	Postdoc	BCS	Aslin	2011 - 2014	Assistant Professor, Department of Brain and Cognitive Sciences, University of Rochester	43.127754	-77.628102	http://colala.bcs.rochester.edu/people/piantadosi/
Pirog-Revill, Kate	PhD	BCS	Aslin, Tanenhaus	2007	Assistant Director/Senior Research Scientist, School of Psychology, Georgia Tech	33.775627	-84.396296	http://www.psychology.gatech.edu/people/visitingscholars.php
Post, Matthew	PhD	CS	Gildea	2010	Research scientist, Department of Computer Science at Johns Hopkins University	39.329893	-76.620556	http://cs.jhu.edu/~post/index.html
Prud’hommeaux, Emily	Postdoc	CS	Gildea	2013 - 2014	Assistant Professor, Computational and Linguistics and Language Science, Department of English, Rochester Institute of Technology	43.083587	-77.677141	http://people.rit.edu/emilypx/
Qian, Ting	PhD	BCS	Aslin	2014	Postdoctoral Fellow, Brown University	41.826756	-71.402575	
Race, David	Postdoc	BCS	Tanenhaus	2006 - 2009	Postdoctoral Fellow, Department of Neurology, Johns Hopkins University	39.300165	-76.59067	
Reeder, Patty	PhD	BCS	Newport	2010	Assistant Professor, Psychological Science, Gustavus Adolphus College	44.324045	-93.970591	https://gustavus.edu/profiles/preeder
Roche, Jennifer	Postdoc	BCS	Jaeger, Tanenhaus	2011 - 2014	Assistant Professor, Department of Speech Pathology & Audiology, Kent State University	41.152564	-81.340404	http://www.personal.kent.edu/~jroche3/
Ruskin, David	PhD	BCS	Newport	2013	Instructor, Department of Brain and Cognitive Sciences, University of Rochester	43.127754	-77.628102	http://www.bcs.rochester.edu/people/postdoc/ruskin_david/index.html
Saffran, Jenny	PhD	BCS	Aslin, Newport	1997	Professor, Department of Psychology, University of Wisconsin-Madison	43.072327	-89.40628	http://www.waisman.wisc.edu/pi-Saffran-Jenny.htm
Sedivy, Julie	PhD	LING	Carlson	1997	Writer and Language Scientist, Adjunct Associate Professor, Department of Linguistics, University of Calgary	51.078187	-114.135806	http://juliesedivy.com/
Senghas, Annie	Postdoc	BCS	Newport	1995 - 1998	Professor, Department of Psychology, Barnard College	40.809317	-73.963693	http://www.columbia.edu/~as1038/1_people.html
Shukla, Mohinish	Postdoc	BCS	Aslin	2007 - 2011	Assistant Professor, Department of Psychology, University of Massachusetts Boston	42.312873	-71.039349	http://www.umb.edu/academics/cla/faculty/mohinish_shukla
Snider, Neal	Postdoc	BCS		2008 - 2010	Research Manager, Natural Language Understanding, Nuance Communications	42.484138	-71.193458	http://www.hlp.rochester.edu/~nsnider/
Spivey, Michael	PhD	BCS	Tanenhaus	1996	Professor, Cognitive Science and Associate Dean, School of Social Sciences, University of California, Merced	37.36291	-120.430159	http://ssha.ucmerced.edu/content/michael-j-spivey
Starling, Sarah	PhD	BCS	Newport	2012	Assistant Professor, Psychology Program, DeSales University	40.53901	-75.379214	http://www.desales.edu/home/academics/divisions-departments/department-of-social-sciences/faces-places/faculty-staff
Stent, Amanda	PhD	CS	Allen	2001	Principal Research Scientist, Yahoo! Labs	37.419037	-122.025733	http://amandastent.com/
Storto, Gianluca	Postdoc	LING	Runner	2003 – 2005 	Technical Program Manager, Google, Inc.	37.427052	-122.071033	
Swift, Mary	Postdoc	BCS	Allen	2001 - 2003	Advisory Software Engineer, IBM Watson	40.439066	-80.006209	
Swingley, Dan	Postdoc	BCS	Aslin	1997 - 1999	Associate Professor, Department of Psychology University of Pennsylvania	39.95344	-75.19767	http://www.psych.upenn.edu/~swingley/
Tabor, Whitney	Postdoc	BCS	Tanenhaus	1994 - 1996	Associate Professor, Department of Psychology University of Connecticut	41.807181	-72.253519	http://psych.uconn.edu/faculty/tabor.php
Tetreault, Joel	PhD	CS	Allen	2004	Senior Research Scientist, Yahoo! Labs	37.419037	-122.025733	http://www.cs.rochester.edu/~tetreaul/
Thompson, Susan	PhD	BCS	Newport	2003	Assistant Professor, Department of Psychology, Monroe Community College	43.101112	-77.609235	http://www.monroecc.edu/depts/psych/fac-staff-page.htm?0F0769C10B394FF58525730F004F6157
Trueswell, John	PhD	Psychology	Tanenhaus	1993	Professor, Department of Psychology, University of Pennsylvania	39.952203	-75.193219	http://www.psych.upenn.edu/~trueswel/
Van Durme, Ben	PhD	CS & LING	Schubert & Carlson	2010	Assistant Research Professor, Johns Hopkins University	39.329893	-76.620556	http://www.cs.jhu.edu/~vandurme/
Vannest, Jennifer	Postdoc	BCS	Bavelier	2003 - 2006	Associate Professor, Department of Pediatrics, Cincinnati Children’s Hospital Medical Center	39.140391	-84.501072	
Wagner Cook, Susan	Postdoc	BCS	Tanenhaus	2006 - 2008	Assistant Professor, Psychology, University of Iowa	41.661949	-91.531367	http://www2.psychology.uiowa.edu/faculty/cook/default.html
Watson, Duane	Postdoc	BCS	Tanenhaus	2002 – 2005	Associate Professor, Department of Psychology, University of Illinois at Urbana Champaign	40.107445	-88.229911	http://www.psychology.illinois.edu/people/dgwatson
Weiss, Dan	Postdoc	BCS	Aslin, Newport	2000 - 2003	Associate Professor, Department of Psychology, Penn State University	40.798281	-77.860498	http://psych.la.psu.edu/directory/faculty-bios/weiss.html
White, Katherine	Postdoc	BCS	Aslin	2007 - 2010	Assistant Professor, Department of Psychology, University of Waterloo	43.472302	-80.544842	https://uwaterloo.ca/psychology/people-profiles/katherine-white
Wolter, Lynsey	Postdoc	BCS	Tanenhaus	2006 - 2008	Assistant Professor, Department of English, University of Wisconsin, Eau Claire	43.0766	-89.401018	http://www.uwec.edu/English/index.htm
Wonnacott, Elizabeth	PhD	BCS	Newport	2006	Assistant Professor, Department of Psychology, Warwick University	52.379252	-1.561475	http://www2.warwick.ac.uk/fac/sci/psych/research/ewonnacott
Zollo, Teresa	PhD	CS	Schubert	2003	Assistant Professor, Ithaca College	42.422154	-76.495096	
